customer_id,risk_score,prediction,anomaly_score,actual_label,risk_category
SYNID0200999280,1.0,1,-0.1953655243520902,,Very High
SYNID0200931678,0.9979529063469196,1,-0.19462391284532787,,Very High
SYNID0200100125,0.9708032118760861,1,-0.18478824861259768,,Very High
SYNID0200161910,0.9636830699352644,1,-0.18220879691767955,,Very High
SYNID0200159270,0.9605924160765149,1,-0.18108912930422227,,Very High
SYNID0200681268,0.949944928851752,1,-0.17723180747035938,,Very High
SYNID0200850567,0.9354552600141657,1,-0.1719825580659856,,Very High
SYNID0200485667,0.9272897572892015,1,-0.1690243979592312,,Very High
SYNID0200950196,0.9221722051344815,1,-0.16717043511845653,,Very High
SYNID0200599266,0.9184083147196084,1,-0.16580687051667975,,Very High
SYNID0200151421,0.9168721125465319,1,-0.16525034238395242,,Very High
SYNID0200684443,0.897883601469555,1,-0.15837127347092061,,Very High
SYNID0200837172,0.8903907184290443,1,-0.15565678687510442,,Very High
SYNID0200066012,0.887727713574033,1,-0.1546920459410155,,Very High
SYNID0200372400,0.8848346586021822,1,-0.1536439635273985,,Very High
SYNID0200242911,0.8820453709125572,1,-0.1526334734390805,,Very High
SYNID0200543533,0.8795635439499917,1,-0.15173436878382351,,Very High
SYNID0200600012,0.877247011040428,1,-0.15089514608439258,,Very High
SYNID0200287638,0.8726043244951112,1,-0.14921321533387877,,Very High
SYNID0200354860,0.8665872181195556,1,-0.14703336620054275,,Very High
SYNID0200528685,0.8664706072783164,1,-0.14699112097080147,,Very High
SYNID0200757363,0.8659796955027715,1,-0.14681327575057845,,Very High
SYNID0200136965,0.8638485152725583,1,-0.14604120175223834,,Very High
SYNID0200850667,0.8633849914776653,1,-0.14587327852145038,,Very High
SYNID0200308227,0.861062944305998,1,-0.1450320581409552,,Very High
SYNID0200629332,0.8544301941252098,1,-0.14262917645151685,,Very High
SYNID0200890307,0.8532244618762765,1,-0.14219236941607039,,Very High
SYNID0200795158,0.8499750284541749,1,-0.14101517988560486,,Very High
SYNID0200895231,0.8479430724753396,1,-0.1402790523846128,,Very High
SYNID0200017800,0.8449102725096774,1,-0.13918034380874522,,Very High
SYNID0200283209,0.8413858075054317,1,-0.1379035171240468,,Very High
SYNID0200763817,0.8353613007910898,1,-0.1357209870306142,,Very High
SYNID0200358668,0.8348329393265752,1,-0.13552957471236282,,Very High
SYNID0200461935,0.8328326568427326,1,-0.13480492173688186,,Very High
SYNID0200301183,0.8281161641145116,1,-0.13309625282789173,,Very High
SYNID0200170423,0.8277005457482192,1,-0.1329456845515452,,Very High
SYNID0200334412,0.8275268296699849,1,-0.1328827515038391,,Very High
SYNID0200196852,0.8200605488549405,1,-0.13017790223774728,,Very High
SYNID0200384611,0.8188343631339952,1,-0.12973368541419728,,Very High
SYNID0200460216,0.8118438897744755,1,-0.1272012094459707,,Very High
SYNID0200996134,0.8033345774327872,1,-0.12411849560054655,,Very High
SYNID0200514054,0.8001229008040271,1,-0.12295498442444375,,Very High
SYNID0200855360,0.7999586085176591,1,-0.1228954653839448,,High
